ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Token Count,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,jamba-1.5-mini,6.110863542s,10.908445459s,1,168562,65563,37198,https://final-escape.com/berlin/,Final Escape Berlin,The Secret Lab,Enter the mysterious lab of a mad scientist. Can you uncover the secrets and escape before time runs out?,2,6,60,https://example.com/book/secret-lab,https://example.com/rooms/secret-lab,https://example.com/images/secret-lab.jpg,Science Fiction,Medium,false,
0,jamba-1.5-mini,6.110863542s,10.908445459s,1,168562,65563,37198,https://final-escape.com/berlin/,Final Escape Berlin,Pharaoh's Tomb,"Trapped inside the tomb of an ancient Pharaoh, you must solve the riddles and find the way out before you are sealed inside forever.",4,8,90,https://example.com/book/pharaohs-tomb,https://example.com/rooms/pharaohs-tomb,https://example.com/images/pharaohs-tomb.jpg,Egypt,Hard,false,
0,jamba-1.5-mini,6.110863542s,10.908445459s,1,168562,65563,37198,https://final-escape.com/berlin/,Final Escape Berlin,Haunted Mansion,A ghostly adventure awaits inside this eerie mansion. Can you solve the mystery of the haunted estate and escape its grasp?,3,5,75,https://example.com/book/haunted-mansion,https://example.com/rooms/haunted-mansion,https://example.com/images/haunted-mansion.jpg,Horror,Easy,false,
1,jamba-1.5-mini,4.865332708s,10.291129417s,1,711106,44869,23621,https://www.60-minutes.de/,60 MINUTES,The Secret Lab,Enter the mysterious lab of a mad scientist. Can you uncover the secrets and escape before time runs out?,2,6,60,https://example.com/book/secret-lab,https://example.com/rooms/secret-lab,https://example.com/images/secret-lab.jpg,Science Fiction,Medium,false,
1,jamba-1.5-mini,4.865332708s,10.291129417s,1,711106,44869,23621,https://www.60-minutes.de/,60 MINUTES,Pharaoh's Tomb,"Trapped inside the tomb of an ancient Pharaoh, you must solve the riddles and find the way out before you are sealed inside forever.",4,8,90,https://example.com/book/pharaohs-tomb,https://example.com/rooms/pharaohs-tomb,https://example.com/images/pharaohs-tomb.jpg,Egypt,Hard,false,
1,jamba-1.5-mini,4.865332708s,10.291129417s,1,711106,44869,23621,https://www.60-minutes.de/,60 MINUTES,Haunted Mansion,A ghostly adventure awaits inside this eerie mansion. Can you solve the mystery of the haunted estate and escape its grasp?,3,5,75,https://example.com/book/haunted-mansion,https://example.com/rooms/haunted-mansion,https://example.com/images/haunted-mansion.jpg,Horror,Easy,false,
2,jamba-1.5-mini,5.214526167s,8.646299125s,1,192534,31676,12911,https://www.4walls-escape.com/,4Walls Escape,The Heist,"An inexplicable discovery in Italy: the missing painting 'Portrait of a Woman' turned up again, not far from the gallery where it was once exhibited! Reveal as a team of investigators the most spectacular art theft in criminal history!",2,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg.jpg,Adventure,4/5,false,
2,jamba-1.5-mini,5.214526167s,8.646299125s,1,192534,31676,12911,https://www.4walls-escape.com/,4Walls Escape,Mysterious Crime,What starts as a 'harmless' burglary gradually turns out to be something much bigger. The discovery of a hidden family secret lies shrouded in mystery. Can you uncover it? Hopefully the clues won't literally get lost in the sand...,2,6,150,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/img/game-3/teaser.jpg.jpg,Crime,4/5,false,
2,jamba-1.5-mini,5.214526167s,8.646299125s,1,192534,31676,12911,https://www.4walls-escape.com/,4Walls Escape,The Hunt,"The world is in an unprecedented state of emergency. Everyone has to deal with these new challenges. What does this mean? See for yourself by embarking on this 'puzzling' quest filled with adventure and danger, along the way.",2,6,90,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/img/game-4/teaser.jpg.jpg,Science Fiction,3/5,false,
3,jamba-1.5-mini,7.275604625s,12.859715083s,1,85524,8573,5437,https://www.adventurerooms.de/,Adventure Rooms,Dresden Airport,Art Gallery Mafia,2,6,60,https://www.adventurerooms.de/airlines,https://www.adventurerooms.de/airlines,https://www.adventurerooms.de/germany/wp-content/uploads/AdventureRooms-Airlines-Exit-Room.jpg,Science Fiction,Medium,false,
