ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,mistral-large-2407,1m48.908538959s,3m59.509556083s,1,171396,66200,https://final-escape.com/berlin/,Final Escape Berlin,,,0,0,0,,,,,,true,"(HTTP Error 400) <html>
<head><title>400 Bad Request</title></head>
<body>
<center><h1>400 Bad Request</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
"
1,mistral-large-2407,33.728190875s,39.172904709s,1,732641,45302,https://www.60-minutes.de/,60 MINUTES,,,0,0,0,,,,,,true,failed to unmarshal response: json: cannot unmarshal string into Go struct field Room.rooms.duration of type int
2,mistral-large-2407,23.279912583s,25.795891666s,1,192551,31676,https://www.4walls-escape.com/,4Walls Escape,The Heist,"As a team of investigators, you reveal the most spectacular art theft in criminal history. Why does the ""Portrait of a Woman"" turns up again now - after 20 years?",1,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg.jpg,Crime,4/5,false,
2,mistral-large-2407,23.279912583s,25.795903541s,1,192551,31676,https://www.4walls-escape.com/,4Walls Escape,Mysterious Crime,It starts with a “harmless” burglary but unravels something much bigger: a hidden family secret whose uncovering will draw you in deep.,1,6,150,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/mysterious-crime,https://www.4walls-escape.com/img/game-3/teaser.jpg.jpg,Crime,4/5,false,
2,mistral-large-2407,23.279912583s,25.79590375s,1,192551,31676,https://www.4walls-escape.com/,4Walls Escape,The Hunt,"Unprecedented state of emergency - everyone has to deal with these new challenges. Embark on a “puzzling” quest filled with adventure and danger, along the way.",1,6,90,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/the-hunt,https://www.4walls-escape.com/img/game-4/teaser.jpg.jpg,Adventure,3/5,false,
3,mistral-large-2407,1.349738125s,7.0791175s,1,85524,8573,https://www.adventurerooms.de/,Adventure Rooms,,,0,0,0,,,,,,false,
4,mistral-large-2407,55.94499975s,1m0.014060041s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Aus Versehen Apokalypse,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,8,60,https://teamescape.com/hamburg/escape-rooms/aus-versehen-apokalypse/,https://teamescape.com/hamburg/escape-rooms/aus-versehen-apokalypse/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Adventure,Adventure,false,
4,mistral-large-2407,55.94499975s,1m0.014064583s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Die Zelle,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,8,60,https://teamescape.com/hamburg/escape-rooms/die-zelle/,https://teamescape.com/hamburg/escape-rooms/die-zelle/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Crime,Crime,false,
4,mistral-large-2407,55.94499975s,1m0.014064833s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Heimlich im Museum,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,7,60,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum/,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Steampunk,Steampunk,false,
4,mistral-large-2407,55.94499975s,1m0.014080916s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Heimlich im Museum – Raum A,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,7,60,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum-raum-a/,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum-raum-a/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Steampunk,Steampunk,false,
4,mistral-large-2407,55.94499975s,1m0.014081125s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Heimlich im Museum – Raum B,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,7,60,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum-raum-b/,https://teamescape.com/hamburg/escape-rooms/heimlich-im-museum-raum-b/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Steampunk,Steampunk,false,
4,mistral-large-2407,55.94499975s,1m0.014081291s,1,250808,41825,https://www.adventure-team.eu/,Adventure Team,Vermächtnis des Zeitreisenden,Erlebt ein unvergessliches Abenteuer in Hamburg. Bereitet euch auf ein Live Escape Game voller Adrenalin vor und löst gemeinsam abwechslungsreiche Rätsel!,2,7,60,https://teamescape.com/hamburg/escape-rooms/vermaechtnis-des-zeitreisenden/,https://teamescape.com/hamburg/escape-rooms/vermaechtnis-des-zeitreisenden/,https://teamescape.com/wp-content/uploads/2023/11/231027-Störer_TeamEscape_3Mio.png,Fantasy,Fantasy,false,
5,mistral-large-2407,25.051839125s,31.606228292s,1,180611,30192,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Atlantis,Zum Escape-Room,0,0,0,,https://escaperooms-neu-ulm.de/rooms/atlantis/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum1.png,,,false,
5,mistral-large-2407,25.051839125s,31.606228709s,1,180611,30192,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Upside Down,Zum Escape-Room,0,0,0,,https://escaperooms-neu-ulm.de//rooms/upside-down/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum7b.png,,,false,
5,mistral-large-2407,25.051839125s,31.606228834s,1,180611,30192,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Tempel der Azteken,Zum Escape-Room,0,0,0,,https://escaperooms-neu-ulm.de/rooms/tempel-der-azteken/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum3.png,,,false,
5,mistral-large-2407,25.051839125s,31.606228917s,1,180611,30192,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Hostel,*NEU* *NEU*,0,0,0,,https://www.escaperooms-neu-ulm.de/rooms/hostel/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum8a.png,,,false,
5,mistral-large-2407,25.051839125s,31.606229042s,1,180611,30192,https://www.escaperooms-neu-ulm.de/,Escape Rooms Neu Ulm,Dracula,Zum Escape-Room,0,0,0,,https://escaperooms-neu-ulm.de/rooms/dracula/,https://u.jimcdn.com/cms/o/sf6a26418ef107d41/userlayout/img/raum6.png,,,false,
6,mistral-large-2407,0s,10.358497083s,0,0,0,https://adventurebox-karlsruhe.de/,Adventurebox Escape Room,,,0,0,0,,,,,,false,failed to navigate: failed to wait for page to load: context deadline exceeded
7,mistral-large-2407,26.411799875s,30.628824917s,1,208308,29316,https://planet-escape-nidda.de/,Planet Escape Room Nidda,Das verlassene Kraftwerk,"<strong>Krakauer Wald.</strong>Ihr seid auf einer Urlaubsreise und wollt die unberührte Natur genießen. Auf einem Ausflug entdeckt ihr ein Gebäude, völlig überwuchert und anscheinend seit Jahren verlassen. Ihr beschliesst euch die Sache genauer anzusehen und findet eine Türe. Sie lässt sich öffnen. Dieser Einladung folgend betretet Ihr das Gebäude - es scheint ein altes Kraftwerk zu sein. Doch das Gebäude ist nicht so tot wie es scheint. Die Falle schnappt zu…<p><p>Ihr habt 55 Minuten Zeit aus dieser Hölle zu entkommen. Beeilt euch, oder es gibt keine Rückkehr!",2,8,55,https://planet-escape-nidda.de/das-verlassene-kraftwerk,https://planet-escape-nidda.de/das-verlassene-kraftwerk,/templates/yootheme/cache/fb/kraftwerk-fba1441c.png,Adventure,Easy,false,
7,mistral-large-2407,26.411799875s,30.628843833s,1,208308,29316,https://planet-escape-nidda.de/,Planet Escape Room Nidda,Der Tempel der Azteken,"<strong>Zentral-Mexiko.</strong>Tief im Dschungel ist Professor Cortés bei seiner Expedition zum Schatz des Azteken Montezuma verschollen. Der erfahrene Forscher war auf der Suche nach den Überresten des Totenkults, als auf einmal die Verbindung zur Aussenwelt abriß.<p><p>Sie, als seine Studenten, haben es nach intensivem Studium seiner Aufzeichnungen geschafft seiner Spur bis zu diesem Raum im Tempel zu folgen. Sie finden den Professor - er ist jedoch tot. Hinter Ihnen verschliesst plötzlich ein großer Stein den Ausgang.<span>Ereilt Sie dasselbe Schicksal wie den Professor oder finden Sie einen Weg den Fluch des Montezuma zu brechen und den Tempel wieder zu verlassen, bevor Ihnen der Sauerstoff ausgeht? Finden Sie alle Infos zum Tempel und buchen Sie ihr Abenteuer!",2,8,55,https://planet-escape-nidda.de/der-tempel-der-azteken,https://planet-escape-nidda.de/der-tempel-der-azteken,/templates/yootheme/cache/74/azteken-74cb1c17.png,Adventure,Easy,false,
8,mistral-large-2407,2.501223959s,5.944959208s,1,29318,6561,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,Grabkammer,,0,0,0,,,,Historical,,false,
8,mistral-large-2407,2.501223959s,5.944959875s,1,29318,6561,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,Piraten,,0,0,0,,,,Adventure,,false,
8,mistral-large-2407,2.501223959s,5.944960208s,1,29318,6561,https://www.escaperooms-ritterhude.de/,Escape Rooms Ritterhude,The S,,0,0,0,,,,Science Fiction,,false,
9,mistral-large-2407,20.887506208s,31.135735292s,1,415317,29632,https://alfsee-escape.de/,Alfsee Escape - Indoor & Outdoor Escaperoom,Der Nebel der Zeit,"Du befindest Dich auf dem Dachboden des Hauses, dass ihr gerade geerbt habt und findest einen alten Wandschrank. Hinter dem Wandschrank befindet sich der Durchgang zur Germanenzeit. Euer Dorf soll niedergebrannt werden. Rettet Euch und Euer Dorf gegen die angreifenden Römer in dem Ihr Rätsel und Aufgaben löst und so wertvolle Artefakte sammelt um erfolgreich gegen die Angreifer bestehen zu können.",4,8,60,https://alfsee-escape.de/indoor-escape-room/,https://alfsee-escape.de/indoor-escape-room/,https://alfsee-escape.de/wp-content/uploads/2021/12/Nebel-der-Zeit-Banner.jpg,Historical,80%,false,
9,mistral-large-2407,20.887506208s,31.135739542s,1,415317,29632,https://alfsee-escape.de/,Alfsee Escape - Indoor & Outdoor Escaperoom,Die Ausgrabung,In dem Germanen Dorf am Alfsee wurde eine Kiste gefunden. Leider sind wir nicht fähig diese Kiste zu öffnen und es liegt nun an euch dies zu tun doch was hat es mit dem Heinrich See und dem Heinrich von Dubbelau auf sich? Wolfgang hat uns eine Karte hinterlassen. Könnt ihr mit Hilfe des Tablets die verschiedenen Punkte finden und die Rätsel lösen um das Wissen zurück zu bringen.,4,8,60,https://alfsee-escape.de/outdoor-escape-room/,https://alfsee-escape.de/outdoor-escape-room/,https://alfsee-escape.de/wp-content/uploads/2021/12/DIE-AUSGRABUNG-Banner.jpg,Adventure,40%,false,
10,mistral-large-2407,16.420336875s,27.996383583s,1,93419,16965,https://www.raus.rocks/,Raus! Escape Room Aachen,Die Entdeckung,66 Minuten,3,6,66,https://www.raus.rocks/services/buchung-die-entdeckung/,https://www.raus.rocks/services/buchung-die-entdeckung/,https://www.raus.rocks/wp-content/uploads/2017/11/Escape-Room-Aachen-Die-Entdeckung-603x379.jpg,Adventure,,false,
10,mistral-large-2407,16.420336875s,27.99638625s,1,93419,16965,https://www.raus.rocks/,Raus! Escape Room Aachen,Aachen – Die letzte Zuflucht!,60 Minuten,2,6,60,https://www.raus.rocks/services/buchung-zuflucht/,https://www.raus.rocks/services/buchung-zuflucht/,https://www.raus.rocks/wp-content/uploads/2017/11/Escape-Room-Aachen-Die-Zuflucht-1-603x379.jpg,Adventure,,false,
10,mistral-large-2407,16.420336875s,27.9963865s,1,93419,16965,https://www.raus.rocks/,Raus! Escape Room Aachen,Das Portal,70 Minuten,6,11,70,https://www.raus.rocks/services/das-portal/,https://www.raus.rocks/services/das-portal/,https://www.raus.rocks/wp-content/uploads/2017/11/Telefon_Portal-603x379.jpg,Adventure,,false,
11,mistral-large-2407,15.526030583s,19.74912375s,1,264196,31473,https://deadline-escape.de/,Deadline Escape Games│Hamburg,Prison Break,,0,0,0,https://deadline-escape.de/produkt/raumbuchung/,https://deadline-escape.de/hamburg-escape-room/,https://deadline-escape.de/wp-content/uploads/2019/10/prison_break.png,Prison,,false,
11,mistral-large-2407,15.526030583s,19.749124292s,1,264196,31473,https://deadline-escape.de/,Deadline Escape Games│Hamburg,Magical Mystery,,0,0,0,https://deadline-escape.de/produkt/raumbuchung/,https://deadline-escape.de/hamburg-escape-room/,https://deadline-escape.de/wp-content/uploads/2019/10/magical_mystery.png,Fantasy,,false,
11,mistral-large-2407,15.526030583s,19.749124458s,1,264196,31473,https://deadline-escape.de/,Deadline Escape Games│Hamburg,Gold Mine,,0,0,0,https://deadline-escape.de/produkt/raumbuchung/,https://deadline-escape.de/hamburg-escape-room/,https://deadline-escape.de/wp-content/uploads/2019/10/gold_mine.png,Western,,false,
11,mistral-large-2407,15.526030583s,19.749124583s,1,264196,31473,https://deadline-escape.de/,Deadline Escape Games│Hamburg,Lost Island,,0,0,0,https://deadline-escape.de/produkt/raumbuchung/,https://deadline-escape.de/hamburg-escape-room/,https://deadline-escape.de/wp-content/uploads/2019/10/lost_island.png,Adventure,,false,
